,date,slice id,state
32,2018-01-05,Slice1c2,6ohda
35,2018-01-05,Slice1c2,6ohda
38,2018-01-05,Slice1c2,6ohda
47,2018-03-30,Slice1c2,6ohda
50,2018-03-30,Slice1c2,6ohda
53,2018-03-30,Slice1c2,6ohda
67,2018-04-04,Slice1c5,6ohda
70,2018-04-04,Slice1c5,6ohda
73,2018-04-04,Slice1c5,6ohda
82,2018-07-18,Slice1c1,6ohda
85,2018-07-18,Slice1c1,6ohda
88,2018-07-18,Slice1c1,6ohda
96,2018-07-18,Slice2c3,6ohda
99,2018-07-18,Slice2c3,6ohda
102,2018-07-18,Slice2c3,6ohda
125,2018-07-25,Slice3c2,6ohda
128,2018-07-25,Slice3c2,6ohda
131,2018-07-25,Slice3c2,6ohda
137,2018-07-25,Slice4c1,6ohda
140,2018-07-25,Slice4c1,6ohda
143,2018-07-25,Slice4c1,6ohda
160,2018-02-21,Slice1c2,control
162,2018-02-21,Slice1c2,control
164,2018-02-21,Slice1c2,control
180,2018-02-21,Slice1c3,control
182,2018-02-21,Slice1c3,control
184,2018-02-21,Slice1c3,control
213,2018-06-01,Slice1c1,control
215,2018-06-01,Slice1c1,control
217,2018-06-01,Slice1c1,control
262,2018-06-22,Slice1c5,control
264,2018-06-22,Slice1c5,control
266,2018-06-22,Slice1c5,control
279,2018-06-22,Slice2c1,control
281,2018-06-22,Slice2c1,control
283,2018-06-22,Slice2c1,control
294,2018-06-22,Slice3c2,control
296,2018-06-22,Slice3c2,control
298,2018-06-22,Slice3c2,control
309,2018-07-16,Slice2c1,control
311,2018-07-16,Slice2c1,control
313,2018-07-16,Slice2c1,control
325,2019-02-08,Slice2c1,control
327,2019-02-08,Slice2c1,control
329,2019-02-08,Slice2c1,control
349,2019-04-09,Slice2c1,control
351,2019-04-09,Slice2c1,control
353,2019-04-09,Slice2c1,control
